fastqs,sample,library_type
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,A2_4,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,A2_3,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,A2_2,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,A2_1,Gene Expression
