fastqs,sample,library_type
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,M3_2,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,M3_1,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,M3_4,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,M3_3,Gene Expression
