fastqs,sample,library_type
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,A3_4,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,A3_3,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,A3_1,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,A3_2,Gene Expression
