fastqs,sample,library_type
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,M1_2,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,M1_4,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,M1_3,Gene Expression
/beevol/home/sheridanr/Projects/morrison_scRNAseq/results/fastqs,M1_1,Gene Expression
